EPCC_category,EPCC_name,EPCC_code,mild,moderate,severe
Diagnostic congenital and generic cardiac codes,"Normal heart,",01.01.00,FALSE,FALSE,FALSE
Diagnostic congenital and generic cardiac codes,"Laevocardia: heart predominantly in left hemithorax,",02.01.03,FALSE,FALSE,FALSE
Diagnostic congenital and generic cardiac codes,"Normal atrial arrangement (situs), atrioventricular & ventriculo-arterial connections,",01.03.10,FALSE,FALSE,FALSE
Diagnostic congenital and generic cardiac codes,"Normal atrial arrangement (situs), atrioventricular & ventriculo-arterial connections, Usual atrial arrangement (atrial situs solitus),",01.03.00,FALSE,FALSE,FALSE
Diagnostic congenital and generic cardiac codes,"Concordant ventriculo-arterial connections,",01.05.00,FALSE,FALSE,FALSE
Diagnostic congenital and generic cardiac codes,"Innocent murmur,",10.12.01,FALSE,FALSE,FALSE
Abnormalities of position and connection of heart,"Anomalous position-orientation of heart,",02.01.09,FALSE,FALSE,FALSE
Abnormalities of position and connection of heart,"Anomalous position-orientation of heart, Dextrocardia: heart predominantly in right hemithorax,",02.01.02,TRUE,FALSE,FALSE
Abnormalities of position and connection of heart,"Anomalous position-orientation of heart, Midline heart (mesocardia),",02.01.04,FALSE,FALSE,FALSE
Abnormalities of position and connection of heart,"Position or morphology of thoraco-abdominal organs abnormal,",03.01.09,FALSE,FALSE,FALSE
Abnormalities of position and connection of heart,"Position or morphology of thoraco-abdominal organs abnormal, Lung anomaly,",03.02.09,FALSE,FALSE,FALSE
Abnormalities of position and connection of heart,"Position or morphology of thoraco-abdominal organs abnormal, Functionally congenital single lung,",03.02.14,FALSE,FALSE,FALSE
Abnormalities of position and connection of heart,"Position or morphology of thoraco-abdominal organs abnormal, Tracheobronchial anomaly,",03.03.05,FALSE,FALSE,FALSE
Abnormalities of position and connection of heart,"Visceral heterotaxy (abnormal arrangement thoraco-abdominal organs),",03.01.02,FALSE,FALSE,FALSE
Abnormalities of position and connection of heart,"Abnormal atrial arrangement,",01.03.06,FALSE,FALSE,FALSE
Abnormalities of position and connection of heart,"Abnormal atrial arrangement, Total mirror imagery (situs inversus),",03.01.03,FALSE,FALSE,FALSE
Abnormalities of position and connection of heart,"Abnormal atrial arrangement, Right isomerism ('asplenia'),",03.01.04,FALSE,FALSE,TRUE
